Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 73.0.3683.103,this is a demo test suite,,2019-04-23 20:21:07,2019-04-23 20:21:38,30.500s,PASSED
,,,,,,,
Test Cases/Test1,Chrome 73.0.3683.103,this is a sample test,,2019-04-23 20:21:08,2019-04-23 20:21:22,14.509s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-23 20:21:08,2019-04-23 20:21:15,7.320s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 73.0.3683.103,,,2019-04-23 20:21:15,2019-04-23 20:21:16,0.520s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 73.0.3683.103,,,2019-04-23 20:21:16,2019-04-23 20:21:17,0.573s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 73.0.3683.103,,,2019-04-23 20:21:17,2019-04-23 20:21:18,1.460s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 73.0.3683.103,,,2019-04-23 20:21:18,2019-04-23 20:21:19,0.707s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 73.0.3683.103,,,2019-04-23 20:21:19,2019-04-23 20:21:19,0.532s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,,2019-04-23 20:21:19,2019-04-23 20:21:20,0.689s,PASSED
,,,,,,,
Test Cases/Test2,Chrome 73.0.3683.103,,,2019-04-23 20:21:22,2019-04-23 20:21:29,7.065s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-23 20:21:22,2019-04-23 20:21:25,2.452s,PASSED
navigateToUrl(URL),Chrome 73.0.3683.103,,,2019-04-23 20:21:25,2019-04-23 20:21:25,0.607s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_LOGIN Panel_txtUsername""), Username)",Chrome 73.0.3683.103,,,2019-04-23 20:21:25,2019-04-23 20:21:25,0.129s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Username_txtPassword""), Password)",Chrome 73.0.3683.103,,,2019-04-23 20:21:25,2019-04-23 20:21:26,0.115s,PASSED
"click(findTestObject(""Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,,2019-04-23 20:21:26,2019-04-23 20:21:26,0.810s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,,2019-04-23 20:21:26,2019-04-23 20:21:27,0.663s,PASSED
,,,,,,,
Test Cases/Test3,Chrome 73.0.3683.103,,,2019-04-23 20:21:29,2019-04-23 20:21:38,8.535s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/"")",Chrome 73.0.3683.103,,,2019-04-23 20:21:29,2019-04-23 20:21:32,2.801s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""Admin"")",Chrome 73.0.3683.103,,,2019-04-23 20:21:32,2019-04-23 20:21:32,0.131s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 73.0.3683.103,,,2019-04-23 20:21:32,2019-04-23 20:21:32,0.144s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,,2019-04-23 20:21:32,2019-04-23 20:21:33,0.762s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Recruitment""))",Chrome 73.0.3683.103,,,2019-04-23 20:21:33,2019-04-23 20:21:34,0.728s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Performance""))",Chrome 73.0.3683.103,,,2019-04-23 20:21:34,2019-04-23 20:21:34,0.149s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Time""))",Chrome 73.0.3683.103,,,2019-04-23 20:21:34,2019-04-23 20:21:35,0.525s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Dashboard""))",Chrome 73.0.3683.103,,,2019-04-23 20:21:35,2019-04-23 20:21:35,0.448s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,,2019-04-23 20:21:35,2019-04-23 20:21:36,0.652s,PASSED
