Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteForDataDrivenDemo,Chrome 73.0.3683.103,,,2019-04-23 20:06:10,2019-04-23 20:06:57,47.649s,FAILED
,,,,,,,
Test Cases/DataDrivenTest,Chrome 73.0.3683.103,,,2019-04-23 20:06:10,2019-04-23 20:06:22,12.062s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,,2019-04-23 20:06:10,2019-04-23 20:06:14,4.034s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 73.0.3683.103,,,2019-04-23 20:06:14,2019-04-23 20:06:16,1.129s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/span_Username""))",Chrome 73.0.3683.103,,,2019-04-23 20:06:16,2019-04-23 20:06:16,0.163s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), username)",Chrome 73.0.3683.103,,,2019-04-23 20:06:16,2019-04-23 20:06:16,0.297s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), password)",Chrome 73.0.3683.103,,,2019-04-23 20:06:16,2019-04-23 20:06:17,0.655s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 73.0.3683.103,,,2019-04-23 20:06:17,2019-04-23 20:06:18,0.890s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Performance""))",Chrome 73.0.3683.103,,,2019-04-23 20:06:18,2019-04-23 20:06:18,0.573s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Directory""))",Chrome 73.0.3683.103,,,2019-04-23 20:06:18,2019-04-23 20:06:19,1.083s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,,2019-04-23 20:06:19,2019-04-23 20:06:20,0.683s,PASSED
,,,,,,,
